@id,title,dateCreated,dateModified,sameAs,storageRegion.prefLabel,storageByteCount,creator.@id,creator.name,usage.viewCount,resourceNature.displayLabel,rights.name,hasOsfAddon.prefLabel,funder.name
https://test.osf.io/6f9tb,ASIST Experiment 2,2019-11-15,2020-01-23,,United States,4030,https://test.osf.io/3pwky ; https://test.osf.io/783bw ; https://test.osf.io/q9k85,Sara Bowman ; Nici Product ; Sara ORCID3,,,CC0 1.0 Universal,,
https://test.osf.io/yzpwf,High-throughput microfluidics screening of probiotic bacteria,2025-02-07,2025-02-07,,United States,26915,https://test.osf.io/fs8ux,Daniel Steger,,,,,
https://test.osf.io/8psb6,Study 1,2025-10-15,2025-10-30,,United States,0,https://test.osf.io/atryg,Blaine Butler,3,,Academic Free License (AFL) 3.0,Google Drive,
https://test.osf.io/fx4dc,ASIST Experiment 3,2019-11-15,2019-11-16,,United States,0,https://test.osf.io/3pwky ; https://test.osf.io/783bw,Sara Bowman ; Nici Product,1,,,,
https://test.osf.io/mfzx3,Hello,2019-09-05,2019-09-06,https://doi.org/10.70102/OSF.IO/MFZX3,Germany - Frankfurt,3169,https://test.osf.io/mfnwq,Dawn Pattison,,,,Redirect Link,
https://test.osf.io/k9tdn,ZZ - DC Test - Collection Project - 02062023,2023-02-06,2023-02-06,,United States,0,https://test.osf.io/afjrt ; https://test.osf.io/q9sxz ; https://test.osf.io/v6esk,DC Test Duck ; DC Test - Orca ; DC Test - Squid,,,CC0 1.0 Universal,,
https://test.osf.io/ey97f,Test component without description,2025-02-03,2025-05-28,,United States,0,https://test.osf.io/kzqhy ; https://test.osf.io/t82fv ; https://test.osf.io/ugp32,Ramyashri Virajamangala ; OSFTesting+Read+Write+User ; OSFTesting+Multi+Affs,,,CC0 1.0 Universal,,
https://test.osf.io/j2pg5,wiki_testing,2019-03-14,2019-08-14,,United States,149093,https://test.osf.io/fmdsh,Jeffrey M. Clark,,,,,
https://test.osf.io/ckdrf,Uday Test Public Project,2020-03-25,2020-03-25,,United States,0,https://test.osf.io/udcnb,Uday Varkhedkar,,,,,
https://test.osf.io/bucjh,Gryff,2023-09-08,2025-01-08,,United States,16372407,https://test.osf.io/atryg ; https://test.osf.io/fs8ux ; https://test.osf.io/uwdve,Blaine Butler ; Daniel Steger ; Fake Person,1,,,,
